customer_id,customer_name,email,phone,city
1,Mr. Jeremiah Reeves,matthew81@hernandez.com,001-316-658-7603x669,Port Nicoleshire
2,Aaron Bell,vmedina@hotmail.com,+1-373-467-0656x272,South Brittanytown
3,Jeffrey Camacho,greenmark@murphy-juarez.biz,641-708-0531x003,Port Andrew
4,Cameron Caldwell,xlyons@jackson-lawson.com,001-241-904-9663x19314,Port Tonyaton
5,Jeffrey Wood,atkinsonlynn@gmail.com,(572)628-4987x76945,Port Sarah
6,Jerry Christensen,anthony52@yahoo.com,545.494.8083,East Jenniferfort
7,Cynthia Alvarez,fmcguire@yahoo.com,634.957.8856,Michaelmouth
8,David Martinez,david82@robinson.com,001-989-413-4352x4082,Brandonton
9,Melissa Martinez,salasaudrey@yahoo.com,752.047.1167x1902,Port Anna
10,Xavier Wilson,kimberlyjames@yahoo.com,964-990-9133x4123,New Charles
11,Jerry Wheeler,halljasmine@hotmail.com,134.936.1832x421,East Laurashire
12,Jessica Harrison,gbender@hotmail.com,719.065.9401x3990,Barbaraburgh
13,Matthew Moon,fwalters@harrison.com,125-674-6807x15451,Hancocktown
14,Kimberly Gutierrez,cindy77@harris.com,771-093-2480x8613,South Staceyberg
15,Dr. Jordan Hill PhD,stephenthomas@gmail.com,+1-821-465-8404x499,Grimesmouth
16,Haley Arnold,mcantu@hotmail.com,963.605.7662,Hannaberg
17,Leslie Kane,foxstephen@hotmail.com,(621)745-9615,Finleyfort
18,Amanda Jones,juliehamilton@gmail.com,001-172-400-5045x56238,Knightburgh
19,Bob Pitts,jdurham@murray.info,074-821-7594x647,Jamesfurt
20,Ashley James,victoria40@hotmail.com,(409)097-4395x3394,Lake Colton
